split,cell_emb,drug_emb,model,variant,inert_embedding,grouping,metric,value,se,n_seeds_or_folds,n_units,run_dir
loclo_loo,gene_jepa,chemberta,mlp,full,none,overall,MCC,0.5205910789129709,0.0412033263618545,38,,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__chemberta__mlp
loclo_loo,gene_jepa,chemberta,mlp,full,none,overall,AUROC,0.83869813422445,0.026798265743027,38,,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__chemberta__mlp
loclo_loo,gene_jepa,chemberta,xrfm,full,none,within_drug,MCC,-0.006383823119735096,0.005896161927099314,3,10.0,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__chemberta__xrfm
loclo_loo,gene_jepa,chemberta,xrfm,full,none,within_drug,AUROC,0.5094778649138987,0.0013833884868792038,3,10.0,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__chemberta__xrfm
loclo_loo,gene_jepa,chemberta,xrfm,full,none,within_cell_line,MCC,0.5594972690308978,0.002495811261621461,3,38.0,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__chemberta__xrfm
loclo_loo,gene_jepa,chemberta,xrfm,full,none,within_cell_line,AUROC,0.8448203842940686,0.0007922927582233364,3,38.0,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__chemberta__xrfm
loclo_loo,gene_jepa,chemberta,xrfm,full,none,overall,MCC,0.5594972690308976,0.0389321248565417,38,,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__chemberta__xrfm
loclo_loo,gene_jepa,chemberta,xrfm,full,none,overall,AUROC,0.8448203842940686,0.0278305176545582,38,,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__chemberta__xrfm
loclo_loo,gene_jepa,maccs,lightgbm,full,none,within_drug,MCC,-0.009301482115341519,0.0,3,10.0,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__maccs__lightgbm
loclo_loo,gene_jepa,maccs,lightgbm,full,none,within_drug,AUROC,0.550458454497952,0.002192561460660074,3,10.0,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__maccs__lightgbm
